OL-026-240,Odiseo,Aliado,Mega Real,Héroe
CS - 208/260,Okiku,Aliado,Vasallo,Héroe
VK - 164/220,Olaf Tryggvason,Aliado,Vasallo,Héroe
EXP-117-146,Olaus Magnus,Aliado,Vasallo,Héroe
IM - 199/238,Olger el Danés,Aliado,Vasallo,Héroe
PI - 183/240,Olivier Van Noort,Aliado,Vasallo,Héroe
CAM-185-236,Olwen,Aliado,Vasallo,Héroe
CID-146-215,Omar ben Hafsún,Aliado,Vasallo,Héroe
CS - 54/260,Ōnamuji,Aliado,Real,Héroe
CS - 137/260,Onna Gugeisha,Aliado,Cortesano,Héroe
HE - 93/175,Orestes,Aliado,Cortesano,Héroe
OL-059-240,Orfeo,Aliado,Real,Héroe
20,Orfeo,Aliado,Real,Héroe
CRPB-71-72,Orión,Aliado,Nueva - Genzo,
CID-047-215,Otger Cataló,Aliado,Real,Héroe
LGO-065-230,Pacala,Aliado,Real,Héroe
148,Pandora,Aliado,Vasallo,Héroe
ESC-046-300,Paracelso,Aliado,Mega Real,Héroe
CMP 013-121,Paracelso,Aliado,Mega Real,Héroe
DO-025-236,Paracelso,Aliado,Mega Real,Héroe
21,Paris,Aliado,Real,Héroe
IV - 118/240,Paris de Troya,Aliado,Cortesano,Héroe
CR-123,Patroclo,Aliado,Héroe,Reprint
OL-111-240,Patroclo,Aliado,Cortesano,Héroe
IV - 117/240,Pausanias,Aliado,Cortesano,Héroe
